date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:38	49059/49059	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:49:20%20GMT	http://themexriver.com/industrial-demo/index-3.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/index-3.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:39	53291/53291	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:53:52%20GMT	http://themexriver.com/industrial-demo/index-4.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/index-4.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:39	53289/53289	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:50:38%20GMT	http://themexriver.com/industrial-demo/index-5.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/index-5.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:40	53280/53280	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:50:56%20GMT	http://themexriver.com/industrial-demo/index-6.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/index-6.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:40	33461/33461	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:00:14%20GMT	http://themexriver.com/industrial-demo/about.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/about.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:41	24928/24928	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:01:08%20GMT	http://themexriver.com/industrial-demo/projects.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/projects.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:41	48388/48388	---M--	200	added ('OK')	image/gif	date:Sun,%2007%20Jan%202018%2018:50:28%20GMT	http://themexriver.com/industrial-demo/assets/images/preloader.gif	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/preloader.gif	(from http://themexriver.com/industrial-demo/index.html)
15:10:41	23397/23397	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:01:14%20GMT	http://themexriver.com/industrial-demo/service-single.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/service-single.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:41	20428/20428	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:01:00%20GMT	http://themexriver.com/industrial-demo/project-single.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/project-single.html	(from http://themexriver.com/industrial-demo/index.html)
15:10:42	35867/35867	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2017:01:42%20GMT	http://themexriver.com/industrial-demo/shop.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/shop.html	(from http://themexriver.com/industrial-demo/index.html)
